Title,Year_of_release,Watching Time,Rate,Metascore,Votes,Gross,certificate
The Shawshank Redemption,(1994),142 min,8.3,82        ,"845,644",$28.34M,A
The Godfather,(1972),175 min,8.3,100        ,"845,644",$134.97M,A
The Dark Knight,(2008),152 min,8.3,84        ,"845,644",$534.86M,A
Schindler's List,(1993),195 min,8.3,95        ,"845,644",$96.90M,A
The Lord of the Rings: The Return of the King,(2003),201 min,8.3,94        ,"845,644",$377.85M,A
12 Angry Men,(1957),96 min,8.3,97        ,"845,644",$4.36M,A
The Godfather Part II,(1974),202 min,8.3,90        ,"845,644",$57.30M,A
Pulp Fiction,(1994),154 min,8.3,95        ,"845,644",$107.93M,A
Inception,(2010),148 min,8.3,74        ,"845,644",$292.58M,A
Fight Club,(1999),139 min,8.3,66        ,"845,644",$37.03M,A
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.3,92        ,"845,644",$315.54M,A
Forrest Gump,(1994),142 min,8.3,82        ,"845,644",$330.25M,A
"Il buono, il brutto, il cattivo",(1966),161 min,8.3,90        ,"845,644",$6.10M,A
The Lord of the Rings: The Two Towers,(2002),179 min,8.3,87        ,"845,644",$342.55M,A
Jai Bhim,(2021),164 min,8.3,****,"845,644",#238,A
777 Charlie,(2022),136 min,8.3,****,"845,644",&&&&,A
Rocketry: The Nambi Effect,(2022),157 min,8.3,****,"845,644",&&&&,A
The Matrix,(1999),136 min,8.3,73        ,"845,644",$171.48M,A
GoodFellas,(1990),145 min,8.3,92        ,"845,644",$46.84M,A
One Flew Over the Cuckoo's Nest,(1975),133 min,8.3,84        ,"845,644",$112.00M,A
The Empire Strikes Back,(1980),124 min,8.3,82        ,"845,644",$290.48M,A
Soorarai Pottru,(2020),153 min,8.3,****,"845,644",&&&&,A
Interstellar,(2014),169 min,8.3,74        ,"845,644",$188.02M,A
The Silence of the Lambs,(1991),118 min,8.3,86        ,"845,644",$130.74M,A
Se7en,(1995),127 min,8.3,65        ,"845,644",$100.13M,A
Star Wars,(1977),121 min,8.3,90        ,"845,644",$322.74M,A
The Green Mile,(1999),189 min,8.3,61        ,"845,644",$136.80M,A
Sen to Chihiro no kamikakushi,(2001),125 min,8.3,96        ,"845,644",$10.06M,A
Saving Private Ryan,(1998),169 min,8.3,91        ,"845,644",$216.54M,A
Terminator 2: Judgment Day,(1991),137 min,8.3,75        ,"845,644",$204.84M,A
Cidade de Deus,(2002),130 min,8.3,79        ,"845,644",$7.56M,A
La vita è bella,(1997),116 min,8.3,59        ,"845,644",$57.60M,A
Shichinin no samurai,(1954),207 min,8.3,98        ,"845,644",$0.27M,A
It's a Wonderful Life,(1946),130 min,8.3,89        ,"845,644",#20,A
Seppuku,(1962),133 min,8.3,85        ,"845,644",#45,A
Sita Ramam,(2022),163 min,8.3,****,"845,644",&&&&,A
Alien,(1979),117 min,8.3,89        ,"845,644",$78.90M,A
Whiplash,(2014),106 min,8.3,89        ,"845,644",$13.09M,A
Gladiator,(2000),155 min,8.3,67        ,"845,644",$187.71M,A
Gisaengchung,(2019),132 min,8.3,96        ,"845,644",$53.37M,A
Back to the Future,(1985),116 min,8.3,87        ,"845,644",$210.61M,A
The Departed,(2006),151 min,8.3,85        ,"845,644",$132.38M,A
The Prestige,(2006),130 min,8.3,66        ,"845,644",$53.09M,A
Léon,(1994),110 min,8.3,64        ,"845,644",$19.50M,A
The Lion King,(1994),88 min,8.3,88        ,"845,644",$422.78M,A
Apocalypse Now,(1979),147 min,8.3,94        ,"845,644",$83.47M,A
The Pianist,(2002),150 min,8.3,85        ,"845,644",$32.57M,A
Psycho,(1960),109 min,8.3,97        ,"845,644",$32.00M,A
The Usual Suspects,(1995),106 min,8.3,77        ,"845,644",$23.34M,A
Casablanca,(1942),102 min,8.3,100        ,"845,644",$1.02M,A
American History X,(1998),119 min,8.3,62        ,"845,644",$6.72M,A
The Intouchables,(2011),112 min,8.3,57        ,"845,644",$13.18M,A
Once Upon a Time in the West,(1968),165 min,8.3,82        ,"845,644",$5.32M,A
Hotaru no haka,(1988),89 min,8.3,94        ,"845,644",#44,A
Nuovo Cinema Paradiso,(1988),155 min,8.3,80        ,"845,644",$11.99M,A
Rear Window,(1954),112 min,8.3,100        ,"845,644",$36.76M,A
Modern Times,(1936),87 min,8.3,96        ,"845,644",$0.16M,A
Kaithi,(2019),145 min,8.3,****,"845,644",&&&&,A
City Lights,(1931),87 min,8.3,99        ,"845,644",$0.02M,A
96,(II) (2018),158 min,8.3,****,"845,644",&&&&,A
Guardians of the Galaxy Volume 3,(2023),150 min,8.3,65        ,"845,644",#165,A
Avengers: Endgame,(2019),181 min,8.3,78        ,"845,644",$858.37M,A
Joker,(I) (2019),122 min,8.3,59        ,"845,644",$335.45M,A
Spider-Man: Into the Spider-Verse,(2018),117 min,8.3,87        ,"845,644",$190.24M,A
Raiders of the Lost Ark,(1981),115 min,8.3,85        ,"845,644",$248.16M,A
Kimi no na wa.,(2016),106 min,8.3,79        ,"845,644",$5.02M,A
Aliens,(1986),137 min,8.3,84        ,"845,644",$85.16M,A
Avengers: Infinity War,(2018),149 min,8.3,68        ,"845,644",$678.82M,A
Django Unchained,(2012),165 min,8.3,81        ,"845,644",$162.81M,A
The Shining,(1980),146 min,8.3,66        ,"845,644",$44.02M,A
Oldeuboi,(2003),101 min,8.3,77        ,"845,644",$0.71M,A
The Dark Knight Rises,(2012),164 min,8.3,78        ,"845,644",$448.14M,A
Memento,(2000),113 min,8.3,81        ,"845,644",$25.54M,A
Idi i smotri,(1985),142 min,8.3,****,"845,644",#92,A
Braveheart,(1995),178 min,8.3,68        ,"845,644",$75.60M,A
Das Boot,(1981),149 min,8.3,86        ,"845,644",$11.49M,A
WALL·E,(2008),98 min,8.3,95        ,"845,644",$223.81M,A
Coco,(I) (2017),105 min,8.3,81        ,"845,644",$209.73M,A
Amadeus,(1984),160 min,8.3,88        ,"845,644",$51.97M,A
The Lives of Others,(2006),137 min,8.3,89        ,"845,644",$11.29M,A
Capharnaüm,(2018),126 min,8.3,75        ,"845,644",$1.66M,A
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.3,97        ,"845,644",$0.28M,A
Sunset Blvd.,(1950),110 min,8.3,94        ,"845,644",#59,A
3 Idiots,(2009),170 min,8.3,67        ,"845,644",$6.53M,A
Witness for the Prosecution,(1957),116 min,8.3,76        ,"845,644",$8.18M,A
Paths of Glory,(1957),88 min,8.3,90        ,"845,644",#60,A
The Great Dictator,(1940),125 min,8.3,****,"845,644",$0.29M,A
Tengoku to jigoku,(1963),143 min,8.3,90        ,"845,644",#86,A
Sardar Udham,(2021),164 min,8.3,****,"845,644",&&&&,A
Asuran,(2019),141 min,8.3,****,"845,644",&&&&,A
Drishyam 2,(2021),152 min,8.3,****,"845,644",&&&&,A
Top Gun: Maverick,(2022),130 min,8.3,78        ,"845,644",$718.73M,A
Good Will Hunting,(1997),126 min,8.3,70        ,"845,644",$138.43M,A
Inglourious Basterds,(2009),153 min,8.3,69        ,"845,644",$120.54M,A
Requiem for a Dream,(2000),102 min,8.3,71        ,"845,644",$3.64M,A
Heat,(1995),170 min,8.3,76        ,"845,644",$67.44M,A
Scarface,(1983),170 min,8.3,65        ,"845,644",$45.60M,A
Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"845,644",$309.13M,A
American Beauty,(1999),122 min,8.3,84        ,"845,644",$130.10M,A
A Clockwork Orange,(1971),136 min,8.3,77        ,"845,644",$6.21M,A
The Shawshank Redemption,(1994),142 min,8.3,82        ,"845,644",$28.34M,A
The Godfather,(1972),175 min,8.3,100        ,"845,644",$134.97M,A
The Dark Knight,(2008),152 min,8.3,84        ,"845,644",$534.86M,A
Schindler's List,(1993),195 min,8.3,95        ,"845,644",$96.90M,A
The Lord of the Rings: The Return of the King,(2003),201 min,8.3,94        ,"845,644",$377.85M,A
12 Angry Men,(1957),96 min,8.3,97        ,"845,644",$4.36M,A
The Godfather Part II,(1974),202 min,8.3,90        ,"845,644",$57.30M,A
Pulp Fiction,(1994),154 min,8.3,95        ,"845,644",$107.93M,A
Inception,(2010),148 min,8.3,74        ,"845,644",$292.58M,A
Fight Club,(1999),139 min,8.3,66        ,"845,644",$37.03M,A
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.3,92        ,"845,644",$315.54M,A
Forrest Gump,(1994),142 min,8.3,82        ,"845,644",$330.25M,A
"Il buono, il brutto, il cattivo",(1966),161 min,8.3,90        ,"845,644",$6.10M,A
The Lord of the Rings: The Two Towers,(2002),179 min,8.3,87        ,"845,644",$342.55M,A
Jai Bhim,(2021),164 min,8.3,****,"845,644",#238,A
777 Charlie,(2022),136 min,8.3,****,"845,644",&&&&,A
Rocketry: The Nambi Effect,(2022),157 min,8.3,****,"845,644",&&&&,A
The Matrix,(1999),136 min,8.3,73        ,"845,644",$171.48M,A
GoodFellas,(1990),145 min,8.3,92        ,"845,644",$46.84M,A
One Flew Over the Cuckoo's Nest,(1975),133 min,8.3,84        ,"845,644",$112.00M,A
The Empire Strikes Back,(1980),124 min,8.3,82        ,"845,644",$290.48M,A
Soorarai Pottru,(2020),153 min,8.3,****,"845,644",&&&&,A
Interstellar,(2014),169 min,8.3,74        ,"845,644",$188.02M,A
The Silence of the Lambs,(1991),118 min,8.3,86        ,"845,644",$130.74M,A
Se7en,(1995),127 min,8.3,65        ,"845,644",$100.13M,A
Star Wars,(1977),121 min,8.3,90        ,"845,644",$322.74M,A
The Green Mile,(1999),189 min,8.3,61        ,"845,644",$136.80M,A
Sen to Chihiro no kamikakushi,(2001),125 min,8.3,96        ,"845,644",$10.06M,A
Saving Private Ryan,(1998),169 min,8.3,91        ,"845,644",$216.54M,A
Terminator 2: Judgment Day,(1991),137 min,8.3,75        ,"845,644",$204.84M,A
Cidade de Deus,(2002),130 min,8.3,79        ,"845,644",$7.56M,A
La vita è bella,(1997),116 min,8.3,59        ,"845,644",$57.60M,A
Shichinin no samurai,(1954),207 min,8.3,98        ,"845,644",$0.27M,A
It's a Wonderful Life,(1946),130 min,8.3,89        ,"845,644",#20,A
Seppuku,(1962),133 min,8.3,85        ,"845,644",#45,A
Sita Ramam,(2022),163 min,8.3,****,"845,644",&&&&,A
Alien,(1979),117 min,8.3,89        ,"845,644",$78.90M,A
Whiplash,(2014),106 min,8.3,89        ,"845,644",$13.09M,A
Gladiator,(2000),155 min,8.3,67        ,"845,644",$187.71M,A
Gisaengchung,(2019),132 min,8.3,96        ,"845,644",$53.37M,A
Back to the Future,(1985),116 min,8.3,87        ,"845,644",$210.61M,A
The Departed,(2006),151 min,8.3,85        ,"845,644",$132.38M,A
